CNPJ_CIA;DENOM_CIA;TICKER
28.201.130/0001-01;ENERGISA TRANSMISSÃO DE ENERGIA S/A;NAO_ENCONTRADO
28.500.320/0001-20;;NOME_AUSENTE
28.594.234/0001-23;AUREN ENERGIA SA;AURE3.SA
29.780.061/0001-09;SAO CARLOS EMPREEND E PARTICIPACOES SA;SCAR3.SA
29.978.814/0001-87;;NOME_AUSENTE
29.980.141/0001-08;OCEÂNICA ENGENHARIA E CONSULTORIA SA;NAO_ENCONTRADO
30.213.493/0001-09;TEGRA INCORPORADORA SA;TEGA3.SA
30.540.991/0001-66;HAGA SA INDUSTRIA E COMERCIO;NAO_ENCONTRADO
31.001.230/0001-07;CELEO REDES TRANSMISSÃO DE ENERGIA SA;NAO_ENCONTRADO
31.553.627/0001-01;GRUPO TOKY SA;NAO_ENCONTRADO
31.701.408/0001-14;;NOME_AUSENTE
31.748.174/0001-60;VERO SA;NAO_ENCONTRADO
32.681.371/0001-72;VIX LOGÍSTICA SA;NAO_ENCONTRADO
32.785.497/0001-97;NATURA &CO HOLDING SA;NTCO3.SA
33.000.167/0001-01;PETROLEO BRASILEIRO SA PETROBRAS;PETR4.SA
33.009.911/0001-39;;NOME_AUSENTE
33.014.556/0001-96;;NOME_AUSENTE
33.035.536/0001-00;JOAO FORTES ENGENHARIA SA;JFEN3.SA
33.039.223/0001-11;;NOME_AUSENTE
33.041.260/0652-90;GRUPO CASAS BAHIA SA;BHIA3.SA
33.042.730/0001-04;CIA SIDERURGICA NACIONAL;CSNA3.SA
33.102.476/0001-92;MONTEIRO ARANHA SA;MOAR3.SA
33.111.246/0001-90;;NOME_AUSENTE
33.113.309/0001-47;VALID SOLUÇÕES SA;VLID3.SA
33.130.691/0001-05;WILSON SONS SA;PORT3.SA
33.200.049/0001-47;HOTEIS OTHON SA;HOOT4.SA
33.228.024/0001-51;WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS SA;WLMM4.SA
33.256.439/0001-39;ULTRAPAR PARTICIPACOES SA;UGPA3.SA
33.386.210/0001-19;SONDOTECNICA ENGENHARIA SOLOS SA;SOND6.SA
33.412.081/0001-96;REFINARIA DE PETROLEOS MANGUINHOS SA;RPMG3.SA
33.453.598/0001-23;RAÍZEN SA;RAIZ4.SA
33.467.572/0001-34;TEKNO SA - INDUSTRIA E COMERCIO;TKNO4.SA
33.541.368/0001-16;;NOME_AUSENTE
33.592.510/0001-54;VALE SA;VALE3.SA
33.611.500/0001-19;GERDAU SA;GGBR4.SA
33.839.910/0001-11;VIVARA PARTICIPAÇÕES SA;VIVA3.SA
33.937.681/0001-78;;NOME_AUSENTE
33.958.695/0001-78;UNIPAR CARBOCLORO SA;UNIP6.SA
34.274.233/0001-02;VIBRA ENERGIA S/A;VBBR3.SA
35.502.310/0001-99;;NOME_AUSENTE
35.727.157/0001-06;EZ INC INCORPORAÇÕES SA;NAO_ENCONTRADO
35.791.391/0001-94;QUALITY SOFTWARE SA;QUSW3.SA
36.542.025/0001-64;BRQ SOLUCOES EM INFORMATICA SA;NAO_ENCONTRADO
37.663.076/0001-07;AUREN PARTICIPAÇÕES SA;NAO_ENCONTRADO
37.702.340/0001-74;MONTE RODOVIAS SA;NAO_ENCONTRADO
38.126.888/0001-86;;NOME_AUSENTE
38.199.406/0001-18;RIO ALTO ENERGIAS RENOVÁVEIS SA;NAO_ENCONTRADO
38.456.921/0001-36;INFRACOMMERCE CXAAS SA;IFCM3.SA
38.482.780/0001-26;ANEMUS WIND HOLDING SA;NAO_ENCONTRADO
39.346.861/0350-38;CENCOSUD BRASIL COMERCIAL SA;NAO_ENCONTRADO
39.881.421/0001-04;COMPANHIA ESTADUAL DE GERAÇÃO DE ENERGIA ELÉTRICA - CEEE-G;EEEL4.SA
40.159.947/0001-64;HMOBI PARTICIPAÇÕES SA;NAO_ENCONTRADO
40.337.136/0001-06;TERRA SANTA PROPRIEDADES AGRÍCOLAS SA;TESA3.SA
40.480.481/0001-02;RIO ALTO STL HOLDING I SA;NAO_ENCONTRADO
41.052.420/0001-07;SOLAR BEBIDAS SA;NAO_ENCONTRADO
41.508.382/0001-46;RODOVIAS DO BRASIL HOLDING SA;NAO_ENCONTRADO
42.150.391/0001-70;BRASKEM SA;BRKM5.SA
42.278.291/0001-24;LOG-IN LOGISTICA INTERMODAL SA;LOGN3.SA
42.278.473/0001-03;WIZ CO PARTICIPAÇÕES E CORRETAGEM DE SEGUROS SA;WIZC3.SA
42.331.462/0001-31;EMBPAR PARTICIPAÇÕES S/A;EPAR3.SA
42.500.384/0001-51;SERENA ENERGIA SA;SRNA3.SA
